Player,Bye,Pts,Att,Cmp,Yds,TD,Int,2Pt,Att,Yds,TD,2Pt,Rec,Yds,TD,2Pt,FL,TD
Josh Allen,13,438,579,385,"4,306",29,18,3,111,524,15,0,0,0,0,0,4,0
Dak Prescott,7,402,590,410,"4,516",36,9,2,55,242,2,0,0,0,0,0,2,0
Jalen Hurts,10,393,538,352,"3,858",23,15,0,157,605,15,0,0,0,0,0,5,0
CeeDee Lamb,7,392,0,0,0,0,0,0,14,113,2,0,135,"1,749",12,1,2,0
Christian McCaffrey,9,378,0,0,0,0,0,0,272,"1,459",14,0,67,564,7,0,2,0
Jordan Love,6,373,579,372,"4,159",32,11,2,50,247,4,0,0,0,0,0,3,0
Tyreek Hill,10,370,0,0,0,0,0,0,6,15,0,0,119,"1,799",13,0,1,0
Lamar Jackson,13,370,457,307,"3,678",24,7,1,148,821,5,0,0,0,0,0,6,0
Brock Purdy,9,347,444,308,"4,280",31,11,0,39,144,2,0,0,0,0,0,2,0
Jared Goff,9,344,605,407,"4,575",30,12,2,32,21,2,0,0,0,0,0,4,0
Patrick Mahomes,10,324,597,401,"4,183",27,14,0,75,389,0,0,0,0,0,0,3,0
Amon-Ra St. Brown,9,324,0,0,0,0,0,0,4,24,0,0,119,"1,515",10,0,1,0
Baker Mayfield,5,319,566,364,"4,044",28,10,2,62,163,1,0,0,0,0,0,3,0
Tua Tagovailoa,10,318,560,388,"4,624",29,14,0,35,74,0,0,0,0,0,0,5,0
C.J. Stroud,7,314,499,319,"4,108",23,5,0,39,167,3,1,1,0,0,0,4,0
Russell Wilson,9,301,447,297,"3,070",26,8,2,80,341,3,0,0,0,0,0,5,0
Trevor Lawrence,9,299,564,370,"4,016",21,14,1,70,339,4,0,0,0,0,0,7,0
Sam Howell,14,289,612,388,"3,946",21,21,1,48,263,5,1,1,4,0,0,2,0
Puka Nacua,10,288,0,0,0,0,0,0,12,89,0,0,105,"1,486",6,0,0,0
Derek Carr,11,286,548,375,"3,878",25,8,2,32,40,0,0,0,0,0,0,3,0
A.J. Brown,10,283,0,0,0,0,0,0,0,0,0,0,106,"1,456",7,0,2,0
Matthew Stafford,10,281,521,326,"3,965",24,11,1,21,65,0,0,0,0,0,1,0,0
D.J. Moore,13,280,0,0,0,0,0,0,4,21,1,0,96,"1,364",8,0,1,0
Mike Evans,5,276,0,0,0,0,0,0,0,0,0,0,79,"1,255",13,0,0,0
Breece Hall,7,274,0,0,0,0,0,0,223,994,5,1,76,591,4,0,0,0
Keenan Allen,5,273,2,1,49,1,0,0,2,6,0,0,108,"1,243",7,0,1,0
Stefon Diggs,13,267,0,0,0,0,0,0,1,5,0,0,107,"1,183",8,1,1,0
Travis Etienne,9,266,0,0,0,0,0,0,267,"1,008",11,2,58,476,1,0,0,0
Justin Herbert,5,265,456,297,"3,134",20,7,1,52,228,3,0,1,10,0,0,1,0
Geno Smith,5,262,499,323,"3,624",20,9,2,37,155,1,0,1,-2,0,0,3,0
