Team,Pts/G,RYds/G,PYds/G
Los Angeles Chargers,15.9,119.7,203.9
Detroit Lions,16.6,94.9,227.2
Denver Broncos,16.8,96.2,199.8
Pittsburgh Steelers,16.9,90.3,214.9
Minnesota Vikings,17.9,74.7,242.5
Philadelphia Eagles,18.1,99.2,175.5
Buffalo Bills,19.5,119.1,210
Chicago Bears,19.7,129.7,209.3
Kansas City Chiefs,19.8,85.3,215.5
Green Bay Packers,20.3,112.7,206.5
Arizona Cardinals,21.5,121.8,218.6
Miami Dolphins,21.5,106.9,197.5
New York Jets,22,130.1,174.9
Seattle Seahawks,22.2,130.5,214.4
Houston Texans,22.3,110.8,192.3
Indianapolis Colts,22.8,142.6,233.2
New York Giants,22.9,147.9,194.2
Washington Commanders,23.1,145.5,189.1
New England Patriots,23.5,123.1,224.4
New Orleans Saints,23.6,134.2,256.6
San Francisco 49ers,23.6,110.8,193.5
Cleveland Browns,24.3,130.6,214.4
Baltimore Ravens,24.5,77.9,277.7
Tampa Bay Buccaneers,24.8,120.7,255.5
Atlanta Falcons,24.9,127.2,229.9
Los Angeles Rams,25.1,144.3,218.2
Tennessee Titans,26.4,106.7,169.6
Cincinnati Bengals,26.9,129.8,225.6
Las Vegas Raiders,28.5,119.5,208.1
Jacksonville Jaguars,28.7,135.5,278.3
Dallas Cowboys,29,150.5,219.5
Carolina Panthers,30.9,160.5,226.7
