Pick,Team,Player,position,College
1,CHI,Caleb Williams,QB,USC
2,WAS,Jayden Daniels,QB,LSU
3,NWE,Drake Maye,QB,North Carolina
4,ARI,Marvin Harrison,WR,Ohio St.
5,LAC,Joe Alt,OL,Notre Dame
6,NYG,Malik Nabers,WR,LSU
7,TEN,JC Latham,OL,Alabama
8,ATL,Michael Penix,QB,Washington
9,CHI,Rome Odunze,WR,Washington
10,MIN,J.J. McCarthy,QB,Michigan
11,NYJ,Olumuyiwa Fashanu,OL,Penn St.
12,DEN,Bo Nix,QB,Oregon
13,LVR,Brock Bowers,TE,Georgia
14,NOR,Taliese Fuaga,OL,Oregon St.
15,IND,Laiatu Latu,DL,UCLA
16,SEA,Byron Murphy,DL,Texas
17,MIN,Dallas Turner,LB,Alabama
18,CIN,Amarius Mims,OL,Georgia
19,LAR,Jared Verse,DL,Florida St.
20,PIT,Troy Fautanu,OL,Washington
21,MIA,Chop Robinson,DE,Penn St.
22,PHI,Quinyon Mitchell,CB,Toledo
23,JAX,Brian Thomas,WR,LSU
24,DET,Terrion Arnold,DB,Alabama
25,GNB,Jordan Morgan,OL,Arizona
26,TAM,Graham Barton,OL,Duke
27,ARI,Darius Robinson,DL,Missouri
28,KAN,Xavier Worthy,WR,Texas
29,DAL,Tyler Guyton,OL,Oklahoma
30,BAL,Nate Wiggins,CB,Clemson
31,SFO,Ricky Pearsall,WR,Florida
32,CAR,Xavier Legette,WR,South Carolina
Pick,Tm,Player,Pos,College/Univ
33,BUF,Keon Coleman,WR,Florida St.
34,LAC,Ladd McConkey,WR,Georgia
35,ATL,Ruke Orhorhoro,DT,Clemson
36,WAS,Jer'Zhan Newton,DL,Illinois
37,NWE,Ja'Lynn Polk,WR,Washington
38,TEN,T'Vondre Sweat,DL,Texas
39,LAR,Braden Fiske,DL,Florida St.
40,PHI,Cooper DeJean,DB,Iowa
41,NOR,Kool-Aid McKinstry,DB,Alabama
42,HOU,Kamari Lassiter,DB,Georgia
43,ARI,Max Melton,DB,Rutgers
