Year,name,position,team,adp,PlayerID
2017,David Johnson,RB,ARI,1.3,JohnDa08
2017,Le'Veon Bell,RB,PIT,2.3,BellLe00
2017,Antonio Brown,WR,PIT,3.7,BrowAn04
2017,Julio Jones,WR,ATL,5.7,JoneJu02
2017,Ezekiel Elliott,RB,DAL,6.2,ElliEz00
2017,Odell Beckham Jr,WR,NYG,6.4,BeckOd00
2017,Devonta Freeman,RB,ATL,7,FreeDe00
2017,LeSean McCoy,RB,BUF,7.8,McCoLe01
2017,Mike Evans,WR,TB,7.9,EvanMi00
2017,A.J. Green,WR,CIN,10,GreeA.00
2017,Melvin Gordon,RB,LAC,10.1,GordMe00
2017,Jordy Nelson,WR,GB,11.4,NelsJo00
2017,Michael Thomas,WR,NO,13.3,ThomMi05
2017,Jay Ajayi,RB,PHI,13.8,AjayJa00
2017,DeMarco Murray,RB,TEN,15.2,MurrDe00
2017,Jordan Howard,RB,CHI,16.8,HowaJo00
2017,Brandin Cooks,WR,NE,17.1,CookBr00
2017,Rob Gronkowski,TE,NE,18.1,GronRo00
2017,Kareem Hunt,RB,KC,18.7,HuntKa00
2017,Todd Gurley,RB,LAR,19.4,GurlTo01
2017,Dez Bryant,WR,DAL,20.5,BryaDe01
2017,Amari Cooper,WR,LV,21.3,CoopAm00
2017,Doug Baldwin,WR,SEA,22.4,BaldDo00
2017,Christian McCaffrey,RB,CAR,22.9,McCaCh01
2017,Aaron Rodgers,QB,GB,23.4,RodgAa00
2017,Keenan Allen,WR,LAC,25.8,AlleKe00
2017,Leonard Fournette,RB,JAX,27,FourLe00
2017,Dalvin Cook,RB,MIN,27.5,CookDa01
2017,T.Y. Hilton,WR,IND,28.8,HiltT.00
2017,Tom Brady,QB,NE,29.6,BradTo00
2017,Isaiah Crowell,RB,CLE,29.8,CrowIs00
2017,Terrelle Pryor,WR,WAS,30.2,PryoTe00
2017,DeAndre Hopkins,WR,HOU,31.7,HopkDe00
2017,Ty Montgomery,RB,GB,32.6,MontTy01
2017,Demaryius Thomas,WR,DEN,34.5,ThomDe03
2017,Carlos Hyde,RB,SF,35.2,HydeCa00
2017,Lamar Miller,RB,HOU,35.2,MillLa01
2017,Marshawn Lynch,RB,LV,36.4,LyncMa00
2017,Kelvin Benjamin,WR,BUF,38.6,BenjKe00
2017,Travis Kelce,TE,KC,38.9,KelcTr00
2017,Alshon Jeffery,WR,PHI,39.1,JeffAl00
2017,Martavis Bryant,WR,PIT,40.9,BryaMa00
2017,Drew Brees,QB,NO,41.7,BreeDr00
2017,Joe Mixon,RB,CIN,42.5,MixoJo00
2017,Michael Crabtree,WR,LV,43.7,CrabMi00
2017,Davante Adams,WR,GB,44.9,AdamDa01
2017,Tyreek Hill,WR,KC,45.5,HillTy00
2017,Golden Tate,WR,DET,47.8,TateGo00
2017,Larry Fitzgerald,WR,ARI,48.4,FitzLa00
2017,Bilal Powell,RB,NYJ,48.6,PoweBi00
2017,Doug Martin,RB,TB,49,MartDo00
2017,CJ Anderson,RB,DEN,51.4,AndeC.00
