player_id,player_name,player_display_name,position,position_group,headshot_url,recent_team,season,week,season_type,opponent_team,completions,attempts,passing_yards,passing_tds,interceptions,sacks,sack_yards,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_2pt_conversions,pacr,dakota,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,racr,target_share,air_yards_share,wopr,special_teams_tds,fantasy_points,fantasy_points_ppr
00-0019596,T.Brady,Tom Brady,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/q7dpdlxyu5rs05rgh1le",TB,2020,1,REG,NO,23,36,239,2,2,3,15,1,0,292,90,10,-9.49685730517148,0,0.818493150684932,0.0689369122070286,3,9,1,0,0,2,1.50544783234363,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,20.46,20.46
00-0019596,T.Brady,Tom Brady,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/q7dpdlxyu5rs05rgh1le",TB,2020,2,REG,CAR,23,35,217,1,1,0,0,0,0,234,110,11,0.524379743148724,0,0.927350427350427,0.0763557042671318,1,0,0,1,1,0,-5.48859050043393,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,8.68,8.68
00-0019596,T.Brady,Tom Brady,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/q7dpdlxyu5rs05rgh1le",TB,2020,3,REG,DEN,25,38,297,3,0,2,12,0,0,311,111,12,11.5597023890887,0,0.954983922829582,0.155103441494779,5,0,0,1,0,0,-3.81172611554297,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,23.88,23.88
00-0019596,T.Brady,Tom Brady,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/q7dpdlxyu5rs05rgh1le",TB,2020,4,REG,LAC,30,46,369,5,1,0,0,0,0,434,109,20,12.685636314257,0,0.850230414746544,0.211619867054336,3,-3,0,0,0,0,-1.1660741547239,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,32.46,32.46
00-0019596,T.Brady,Tom Brady,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/q7dpdlxyu5rs05rgh1le",TB,2020,5,REG,CHI,25,41,253,1,0,3,20,0,0,383,100,11,0.327567805451834,0,0.660574412532637,0.0378806278973046,3,0,0,1,0,1,1.14662139350548,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,14.12,14.12
00-0019596,T.Brady,Tom Brady,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/q7dpdlxyu5rs05rgh1le",TB,2020,6,REG,GB,17,27,166,2,0,0,0,0,0,231,72,9,6.48244893333624,0,0.718614718614719,0.204481458386678,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,14.64,14.64
00-0019596,T.Brady,Tom Brady,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/q7dpdlxyu5rs05rgh1le",TB,2020,7,REG,LV,33,45,369,4,0,0,0,0,0,399,134,22,26.7000997781823,0,0.924812030075188,0.345125281194599,1,1,1,0,0,1,1.1775946286507,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,36.86,36.86
00-0019596,T.Brady,Tom Brady,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/q7dpdlxyu5rs05rgh1le",TB,2020,8,REG,NYG,28,40,279,2,0,2,16,0,0,364,94,18,10.6808320451409,0,0.766483516483517,0.18719227515327,1,-1,0,0,0,0,-1.33080289623467,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,19.06,19.06
00-0019596,T.Brady,Tom Brady,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/q7dpdlxyu5rs05rgh1le",TB,2020,9,REG,NO,22,38,209,0,3,3,23,0,0,365,80,10,-23.3233474628768,0,0.572602739726027,0.0163026716487099,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,2.36,2.36
00-0019596,T.Brady,Tom Brady,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/q7dpdlxyu5rs05rgh1le",TB,2020,10,REG,CAR,28,39,341,3,0,1,7,0,0,324,168,18,28.0415778204074,0,1.05246913580247,0.315252537439926,2,2,1,0,0,1,-0.407605364609787,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,31.84,31.84
